pair_index	label	native_rank	computed_score	duration_bars	start_a_ms	start_b_ms	duration_ms	speed_a	speed_b	top_preset_id
0	tested-playlist	0	3.755000114440918	2	208960	2763	6090	1	0.9031203985214233	1
0	tested-playlist	1	3.723750114440918	2	208960	24763	6090	1	0.9031203985214233	1
0	tested-playlist	2	3.6600000858306885	2	208960	5513	6090	1	0.9031203985214233	1
0	tested-playlist	3	3.692500114440918	2	208960	19263	6090	1	0.9031203985214233	1
0	tested-playlist	4	3.006834030151367	4	189390	2763	10700	1	1.028037667274475	8
0	tested-playlist	5	3.661250114440918	2	208960	8263	6090	1	0.9031203985214233	19
0	tested-playlist	6	2.981600522994995	4	189390	16513	10700	1	1.028037667274475	17
0	tested-playlist	7	2.9462735652923584	4	189390	13	10700	1	1.0280377864837646	9
0	tested-playlist	8	2.904890537261963	4	189390	13763	10700	1	1.028037667274475	2
0	tested-playlist	9	2.8369381427764893	4	186710	16513	10700	1	1.028037667274475	2
0	tested-playlist	10	2.142855644226074	8	178590	2763	21500	1	1.0232558250427246	2
0	tested-playlist	11	2.122555732727051	8	178590	16513	21500	1	1.0232558250427246	8
0	tested-playlist	12	2.0941359996795654	8	178590	13	21500	1	1.0232558250427246	8
0	tested-playlist	13	2.1022558212280273	8	178590	11013	21500	1	1.0232558250427246	1
0	tested-playlist	14	2.081144094467163	8	178590	13763	21500	1	1.0232558250427246	3
1	tested-reverse	0	3.875	4	266759	18990	11000	1	0.9836363196372986	1
1	tested-reverse	1	3.875	4	266759	16270	11000	1	0.9854545593261719	3
1	tested-reverse	2	3.875	2	269509	21690	5500	1	0.9854545593261719	1
1	tested-reverse	3	3.8500001430511475	4	242010	18990	10999	1	0.9837250113487244	3
1	tested-reverse	4	3.8500001430511475	4	242010	16270	10999	1	0.985543429851532	1
1	tested-reverse	5	3.8500001430511475	4	244760	18990	10999	1	0.9837250113487244	19
1	tested-reverse	6	3.8500001430511475	2	247510	21690	5499	1	0.9856323003768921	1
